drug,label,organization,name,update_date,gene,data_source
lomitapide,Testing required,EMA,"Annotation of EMA Label for lomitapide and APOB, LDLR, PCSK9",2019-12-04,APOB,drug_label
lomitapide,Testing required,EMA,"Annotation of EMA Label for lomitapide and APOB, LDLR, PCSK9",2019-12-04,LDLR,drug_label
lomitapide,Testing required,EMA,"Annotation of EMA Label for lomitapide and APOB, LDLR, PCSK9",2019-12-04,PCSK9,drug_label
voriconazole,Informative PGx,EMA,"Annotation of EMA Label for voriconazole and CYP2C19, CYP2C9, CYP3A4",2019-12-04,CYP2C19,drug_label
voriconazole,Informative PGx,EMA,"Annotation of EMA Label for voriconazole and CYP2C19, CYP2C9, CYP3A4",2019-12-04,CYP2C9,drug_label
voriconazole,Informative PGx,EMA,"Annotation of EMA Label for voriconazole and CYP2C19, CYP2C9, CYP3A4",2019-12-04,CYP3A4,drug_label
sodium phenylbutyrate,Testing required,FDA,"Annotation of FDA Label for sodium phenylbutyrate and ASS1, CPS1, OTC",2013-12-13,ASS1,drug_label
sodium phenylbutyrate,Testing required,FDA,"Annotation of FDA Label for sodium phenylbutyrate and ASS1, CPS1, OTC",2013-12-13,CPS1,drug_label
sodium phenylbutyrate,Testing required,FDA,"Annotation of FDA Label for sodium phenylbutyrate and ASS1, CPS1, OTC",2013-12-13,OTC,drug_label
esomeprazole,Informative PGx,EMA,Annotation of EMA Label for esomeprazole and CYP2C19,2014-05-08,CYP2C19,drug_label
azathioprine,Actionable PGx,HCSC,Annotation of HCSC Label for azathioprine and TPMT,,TPMT,drug_label
boceprevir,Informative PGx,HCSC,Annotation of HCSC Label for boceprevir and IFNL3,,IFNL3,drug_label
capecitabine,Actionable PGx,HCSC,Annotation of HCSC Label for capecitabine and DPYD,,DPYD,drug_label
carvedilol,Actionable PGx,HCSC,Annotation of HCSC Label for carvedilol and CYP2D6,,CYP2D6,drug_label
celecoxib,Actionable PGx,HCSC,Annotation of HCSC Label for celecoxib and CYP2C9,,CYP2C9,drug_label
chlorpropamide,Actionable PGx,HCSC,Annotation of HCSC Label for chlorpropamide and G6PD,,G6PD,drug_label
citalopram,Actionable PGx,HCSC,Annotation of HCSC Label for citalopram and CYP2C19,,CYP2C19,drug_label
pertuzumab,Testing required,HCSC,Annotation of HCSC Label for pertuzumab and ERBB2,,ERBB2,drug_label
phenytoin,Testing recommended,HCSC,Annotation of HCSC Label for phenytoin and HLA-B,,HLA-B,drug_label
propafenone,Actionable PGx,HCSC,Annotation of HCSC Label for propafenone and CYP2D6,,CYP2D6,drug_label
quinine,Actionable PGx,HCSC,Annotation of HCSC Label for quinine and G6PD,,G6PD,drug_label
prasugrel,Informative PGx,EMA,"Annotation of EMA Label for prasugrel and CYP2B6, CYP2C19, CYP2C9, CYP3A5",2013-10-27,CYP2B6,drug_label
prasugrel,Informative PGx,EMA,"Annotation of EMA Label for prasugrel and CYP2B6, CYP2C19, CYP2C9, CYP3A5",2013-10-27,CYP2C19,drug_label
prasugrel,Informative PGx,EMA,"Annotation of EMA Label for prasugrel and CYP2B6, CYP2C19, CYP2C9, CYP3A5",2013-10-27,CYP2C9,drug_label
prasugrel,Informative PGx,EMA,"Annotation of EMA Label for prasugrel and CYP2B6, CYP2C19, CYP2C9, CYP3A5",2013-10-27,CYP3A5,drug_label
rituximab,Testing required,EMA,Annotation of EMA Label for rituximab and MS4A1,2019-12-04,MS4A1,drug_label
risperidone,Informative PGx,HCSC,Annotation of HCSC Label for risperidone and CYP2D6,,CYP2D6,drug_label
rosuvastatin,Actionable PGx,HCSC,Annotation of HCSC Label for rosuvastatin and LDLR,,LDLR,drug_label
atorvastatin,Informative PGx,FDA,Annotation of FDA Label for atorvastatin and LDLR,2017-11-08,LDLR,drug_label
brentuximab vedotin,Informative PGx,FDA,Annotation of FDA Label for brentuximab vedotin and ALK,2013-10-25,ALK,drug_label
indacaterol,Informative PGx,EMA,Annotation of EMA Label for indacaterol and ADRB2,2019-12-04,ADRB2,drug_label
diazepam,Actionable PGx,FDA,Annotation of FDA Label for diazepam and CYP2C19,2013-10-25,CYP2C19,drug_label
carbamazepine,Testing required,FDA,Annotation of FDA Label for carbamazepine and HLA-B,2016-03-21,HLA-B,drug_label
clopidogrel,Actionable PGx,FDA,Annotation of FDA Label for clopidogrel and CYP2C19,2016-10-03,CYP2C19,drug_label
chloroquine,Actionable PGx,FDA,Annotation of FDA Label for chloroquine and G6PD,2020-03-23,G6PD,drug_label
erlotinib,Testing required,FDA,Annotation of FDA Label for erlotinib and EGFR,2013-10-25,EGFR,drug_label
gefitinib,Testing required,FDA,Annotation of FDA Label for gefitinib and EGFR,2017-11-09,EGFR,drug_label
trastuzumab emtansine,Testing required,FDA,Annotation of FDA Label for trastuzumab emtansine and ERBB2,2019-10-18,ERBB2,drug_label
rosuvastatin,Actionable PGx,FDA,Annotation of FDA Label for rosuvastatin and SLCO1B1,2017-03-15,SLCO1B1,drug_label
dasatinib,Testing required,FDA,"Annotation of FDA Label for dasatinib and ABL1, BCR",2019-10-10,ABL1,drug_label
dasatinib,Testing required,FDA,"Annotation of FDA Label for dasatinib and ABL1, BCR",2019-10-10,BCR,drug_label
azathioprine,Testing recommended,FDA,"Annotation of FDA Label for azathioprine and NUDT15, TPMT",2020-10-15,NUDT15,drug_label
azathioprine,Testing recommended,FDA,"Annotation of FDA Label for azathioprine and NUDT15, TPMT",2020-10-15,TPMT,drug_label
imatinib,Testing required,FDA,"Annotation of FDA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB",2013-10-25,ABL1,drug_label
imatinib,Testing required,FDA,"Annotation of FDA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB",2013-10-25,BCR,drug_label
imatinib,Testing required,FDA,"Annotation of FDA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB",2013-10-25,FIP1L1,drug_label
imatinib,Testing required,FDA,"Annotation of FDA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB",2013-10-25,KIT,drug_label
imatinib,Testing required,FDA,"Annotation of FDA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB",2013-10-25,PDGFRA,drug_label
imatinib,Testing required,FDA,"Annotation of FDA Label for imatinib and ABL1, BCR, FIP1L1, KIT, PDGFRA, PDGFRB",2013-10-25,PDGFRB,drug_label
lapatinib,Testing required,FDA,"Annotation of FDA Label for lapatinib and ERBB2, ESR1, ESR2, PGR",2016-03-21,ERBB2,drug_label
lapatinib,Testing required,FDA,"Annotation of FDA Label for lapatinib and ERBB2, ESR1, ESR2, PGR",2016-03-21,ESR1,drug_label
lapatinib,Testing required,FDA,"Annotation of FDA Label for lapatinib and ERBB2, ESR1, ESR2, PGR",2016-03-21,ESR2,drug_label
lapatinib,Testing required,FDA,"Annotation of FDA Label for lapatinib and ERBB2, ESR1, ESR2, PGR",2016-03-21,PGR,drug_label
fulvestrant,Testing required,FDA,"Annotation of FDA Label for fulvestrant and ESR1, ESR2, PGR",2013-10-25,ESR1,drug_label
fulvestrant,Testing required,FDA,"Annotation of FDA Label for fulvestrant and ESR1, ESR2, PGR",2013-10-25,ESR2,drug_label
fulvestrant,Testing required,FDA,"Annotation of FDA Label for fulvestrant and ESR1, ESR2, PGR",2013-10-25,PGR,drug_label
sodium benzoate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,ARG1,drug_label
sodium benzoate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,ASL,drug_label
sodium benzoate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,ASS1,drug_label
sodium benzoate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,CPS1,drug_label
sodium benzoate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,NAGS,drug_label
sodium benzoate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,OTC,drug_label
sodium phenylacetate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,ARG1,drug_label
sodium phenylacetate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,ASL,drug_label
sodium phenylacetate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,ASS1,drug_label
sodium phenylacetate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,CPS1,drug_label
sodium phenylacetate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,NAGS,drug_label
sodium phenylacetate,Testing required,FDA,"Annotation of FDA Label for sodium benzoate / sodium phenylacetate and ARG1, ASL, ASS1, CPS1, NAGS, OTC",2017-03-14,OTC,drug_label
busulfan,Actionable PGx,FDA,"Annotation of FDA Label for busulfan and ABL1, BCR",2019-05-10,ABL1,drug_label
busulfan,Actionable PGx,FDA,"Annotation of FDA Label for busulfan and ABL1, BCR",2019-05-10,BCR,drug_label
indacaterol,Informative PGx,FDA,Annotation of FDA Label for indacaterol and UGT1A1,2013-10-25,UGT1A1,drug_label
maraviroc,Informative PGx,FDA,Annotation of FDA Label for maraviroc and CCR5,2013-10-25,CCR5,drug_label
tositumomab,Informative PGx,FDA,Annotation of FDA Label for tositumomab and MS4A1,2017-03-14,MS4A1,drug_label
quinidine,Informative PGx,FDA,Annotation of FDA Label for quinidine and CYP2D6,2013-10-25,CYP2D6,drug_label
drospirenone,Informative PGx,FDA,Annotation of FDA Label for drospirenone / ethinyl estradiol and CYP2C19,2014-07-14,CYP2C19,drug_label
ethinyl estradiol,Informative PGx,FDA,Annotation of FDA Label for drospirenone / ethinyl estradiol and CYP2C19,2014-07-14,CYP2C19,drug_label
terbinafine,Informative PGx,FDA,Annotation of FDA Label for terbinafine and CYP2D6,2013-10-25,CYP2D6,drug_label
tiotropium,Informative PGx,FDA,Annotation of FDA Label for tiotropium and CYP2D6,2013-10-25,CYP2D6,drug_label
fluoxetine,Informative PGx,FDA,Annotation of FDA Label for fluoxetine and CYP2D6,2013-10-25,CYP2D6,drug_label
ticagrelor,Informative PGx,FDA,Annotation of FDA Label for ticagrelor and CYP2C19,2017-03-16,CYP2C19,drug_label
cisplatin,Informative PGx,FDA,Annotation of FDA Label for cisplatin and TPMT,2013-10-25,TPMT,drug_label
boceprevir,Informative PGx,FDA,Annotation of FDA Label for boceprevir and IFNL3,2013-10-25,IFNL3,drug_label
modafinil,Actionable PGx,FDA,Annotation of FDA Label for modafinil and CYP2D6,2013-10-25,CYP2D6,drug_label
boceprevir,Actionable PGx,EMA,Annotation of EMA Label for boceprevir and IFNL3,2013-10-25,IFNL3,drug_label
desloratadine,Informative PGx,EMA,Annotation of EMA Label for desloratadine,2019-12-04,,drug_label
norfloxacin,Actionable PGx,FDA,Annotation of FDA Label for norfloxacin and G6PD,2019-04-14,G6PD,drug_label
cabazitaxel,Informative PGx,EMA,Annotation of EMA Label for cabazitaxel and CYP3A4,2019-12-04,CYP3A4,drug_label
afatinib,Testing required,FDA,Annotation of FDA Label for afatinib and EGFR,2019-04-11,EGFR,drug_label
capecitabine,Actionable PGx,FDA,Annotation of FDA Label for capecitabine and DPYD,2019-05-10,DPYD,drug_label
aripiprazole,Actionable PGx,FDA,Annotation of FDA Label for aripiprazole and CYP2D6,2019-05-09,CYP2D6,drug_label
peginterferon alfa-2b,Actionable PGx,FDA,Annotation of FDA Label for peginterferon alfa-2b and IFNL3,2019-04-19,IFNL3,drug_label
carglumic acid,Testing required,FDA,Annotation of FDA Label for carglumic acid and NAGS,2019-10-10,NAGS,drug_label
desipramine,Actionable PGx,FDA,Annotation of FDA Label for desipramine and CYP2D6,2013-10-25,CYP2D6,drug_label
clobazam,Actionable PGx,FDA,Annotation of FDA Label for clobazam and CYP2C19,2019-04-23,CYP2C19,drug_label
clozapine,Actionable PGx,FDA,Annotation of FDA Label for clozapine and CYP2D6,2013-10-25,CYP2D6,drug_label
iloperidone,Actionable PGx,FDA,Annotation of FDA Label for iloperidone and CYP2D6,2013-10-25,CYP2D6,drug_label
denileukin diftitox,Testing required,FDA,Annotation of FDA Label for denileukin diftitox and IL2RA,2019-04-30,IL2RA,drug_label
imipramine,Actionable PGx,FDA,Annotation of FDA Label for imipramine and CYP2D6,2013-10-25,CYP2D6,drug_label
ivacaftor,Testing required,FDA,Annotation of FDA Label for ivacaftor and CFTR,2020-10-07,CFTR,drug_label
pimozide,Testing required,FDA,Annotation of FDA Label for pimozide and CYP2D6,2019-04-19,CYP2D6,drug_label
nalidixic acid,Actionable PGx,FDA,Annotation of FDA Label for nalidixic acid and G6PD,2013-12-18,G6PD,drug_label
nefazodone,Informative PGx,FDA,Annotation of FDA Label for nefazodone and CYP2D6,2013-10-25,CYP2D6,drug_label
pertuzumab,Testing required,FDA,Annotation of FDA Label for pertuzumab and ERBB2,2019-10-10,ERBB2,drug_label
tetrabenazine,Testing required,FDA,Annotation of FDA Label for tetrabenazine and CYP2D6,2013-10-25,CYP2D6,drug_label
primaquine,Testing required,FDA,Annotation of FDA Label for primaquine and G6PD,2017-11-09,G6PD,drug_label
thioridazine,Actionable PGx,FDA,Annotation of FDA Label for thioridazine and CYP2D6,2013-10-25,CYP2D6,drug_label
carvedilol,Actionable PGx,FDA,Annotation of FDA Label for carvedilol and CYP2D6,2013-10-25,CYP2D6,drug_label
valproic acid,Actionable PGx,FDA,Annotation of FDA Label for valproic acid and OTC,2019-10-10,OTC,drug_label
abacavir,Testing required,FDA,Annotation of FDA Label for abacavir and HLA-B,2019-05-08,HLA-B,drug_label
atomoxetine,Actionable PGx,FDA,Annotation of FDA Label for atomoxetine and CYP2D6,2019-05-09,CYP2D6,drug_label
isoniazid,Informative PGx,FDA,Annotation of FDA Label for isoniazid / pyrazinamide / rifampin and NAT2,2019-10-15,NAT2,drug_label
pyrazinamide,Informative PGx,FDA,Annotation of FDA Label for isoniazid / pyrazinamide / rifampin and NAT2,2019-10-15,NAT2,drug_label
rifampin,Informative PGx,FDA,Annotation of FDA Label for isoniazid / pyrazinamide / rifampin and NAT2,2019-10-15,NAT2,drug_label
tolterodine,Actionable PGx,FDA,Annotation of FDA Label for tolterodine and CYP2D6,2013-10-25,CYP2D6,drug_label
carisoprodol,Actionable PGx,FDA,Annotation of FDA Label for carisoprodol and CYP2C19,2013-10-25,CYP2C19,drug_label
fluvoxamine,Actionable PGx,FDA,Annotation of FDA Label for fluvoxamine and CYP2D6,2013-10-25,CYP2D6,drug_label
galantamine,Informative PGx,FDA,Annotation of FDA Label for galantamine and CYP2D6,2013-10-25,CYP2D6,drug_label
nortriptyline,Actionable PGx,FDA,Annotation of FDA Label for nortriptyline and CYP2D6,2013-10-25,CYP2D6,drug_label
paroxetine,Informative PGx,FDA,Annotation of FDA Label for paroxetine and CYP2D6,2013-10-25,CYP2D6,drug_label
propranolol,Informative PGx,FDA,Annotation of FDA Label for propranolol and CYP2D6,2013-10-25,CYP2D6,drug_label
protriptyline,Actionable PGx,FDA,Annotation of FDA Label for protriptyline and CYP2D6,2013-10-25,CYP2D6,drug_label
metoprolol,Informative PGx,FDA,Annotation of FDA Label for metoprolol and CYP2D6,2013-10-25,CYP2D6,drug_label
celecoxib,Actionable PGx,FDA,Annotation of FDA Label for celecoxib and CYP2C9,2021-02-05,CYP2C9,drug_label
nelfinavir,Informative PGx,FDA,"Annotation of FDA Label for nelfinavir and CYP2C19, CYP3A",2013-10-25,CYP2C19,drug_label
nelfinavir,Informative PGx,FDA,"Annotation of FDA Label for nelfinavir and CYP2C19, CYP3A",2013-10-25,CYP3A,drug_label
rasburicase,Actionable PGx,EMA,Annotation of EMA Label for rasburicase and G6PD,2013-10-27,G6PD,drug_label
erythromycin ethylsuccinate,Actionable PGx,FDA,Annotation of FDA Label for erythromycin ethylsuccinate / sulfisoxazole acetyl and G6PD,2017-03-17,G6PD,drug_label
sulfisoxazole acetyl,Actionable PGx,FDA,Annotation of FDA Label for erythromycin ethylsuccinate / sulfisoxazole acetyl and G6PD,2017-03-17,G6PD,drug_label
abacavir,Testing required,EMA,Annotation of EMA Label for abacavir and HLA-B,2013-10-15,HLA-B,drug_label
lansoprazole,Informative PGx,FDA,Annotation of FDA Label for lansoprazole and CYP2C19,2013-10-25,CYP2C19,drug_label
aripiprazole,Actionable PGx,EMA,Annotation of EMA Label for aripiprazole and CYP2D6,2019-12-04,CYP2D6,drug_label
nitrofurantoin,Actionable PGx,FDA,Annotation of FDA Label for nitrofurantoin and G6PD,2013-12-18,G6PD,drug_label
brentuximab vedotin,Testing required,EMA,Annotation of EMA Label for brentuximab vedotin and TNFRSF8,2013-10-25,TNFRSF8,drug_label
capecitabine,Testing recommended,EMA,Annotation of EMA Label for capecitabine and DPYD,2013-10-25,DPYD,drug_label
probenecid,Actionable PGx,FDA,Annotation of FDA Label for probenecid and G6PD,2013-10-25,G6PD,drug_label
lenalidomide,Informative PGx,EMA,Annotation of EMA Label for lenalidomide,2019-12-04,,drug_label
ivacaftor,Testing required,EMA,Annotation of EMA Label for ivacaftor and CFTR,2013-10-27,CFTR,drug_label
gefitinib,Testing required,EMA,Annotation of EMA Label for gefitinib and EGFR,2013-10-25,EGFR,drug_label
codeine,Actionable PGx,FDA,Annotation of FDA Label for codeine and CYP2D6,2020-09-18,CYP2D6,drug_label
pantoprazole,Actionable PGx,FDA,Annotation of FDA Label for pantoprazole and CYP2C19,2013-10-25,CYP2C19,drug_label
moviprep,Actionable PGx,FDA,Annotation of FDA Label for moviprep and G6PD,2013-12-18,G6PD,drug_label
perphenazine,Actionable PGx,FDA,Annotation of FDA Label for perphenazine and CYP2D6,2013-10-25,CYP2D6,drug_label
pegloticase,Testing required,FDA,Annotation of FDA Label for pegloticase and G6PD,2017-03-16,G6PD,drug_label
omeprazole,Actionable PGx,FDA,Annotation of FDA Label for omeprazole and CYP2C19,2017-03-16,CYP2C19,drug_label
flurbiprofen,Actionable PGx,FDA,Annotation of FDA Label for flurbiprofen and CYP2C9,2013-10-25,CYP2C9,drug_label
cetuximab,Testing required,EMA,"Annotation of EMA Label for cetuximab and EGFR, KRAS, NRAS",2013-10-25,EGFR,drug_label
cetuximab,Testing required,EMA,"Annotation of EMA Label for cetuximab and EGFR, KRAS, NRAS",2013-10-25,KRAS,drug_label
cetuximab,Testing required,EMA,"Annotation of EMA Label for cetuximab and EGFR, KRAS, NRAS",2013-10-25,NRAS,drug_label
mipomersen,Informative PGx,FDA,Annotation of FDA Label for mipomersen and LDLR,2017-11-08,LDLR,drug_label
exemestane,Testing required,FDA,"Annotation of FDA Label for exemestane and ESR1, ESR2, PGR",2013-10-25,ESR1,drug_label
exemestane,Testing required,FDA,"Annotation of FDA Label for exemestane and ESR1, ESR2, PGR",2013-10-25,ESR2,drug_label
exemestane,Testing required,FDA,"Annotation of FDA Label for exemestane and ESR1, ESR2, PGR",2013-10-25,PGR,drug_label
valbenazine,Actionable PGx,FDA,Annotation of FDA Label for valbenazine and CYP2D6,,CYP2D6,drug_label
gilteritinib,Testing required,FDA,Annotation of FDA Label for gilteritinib and FLT3,2019-05-17,FLT3,drug_label
raltegravir,Informative PGx,FDA,Annotation of FDA Label for raltegravir and UGT1A1,2019-04-23,UGT1A1,drug_label
belimumab,Informative PGx,EMA,Annotation of EMA Label for belimumab and TNFSF13B,2019-12-04,TNFSF13B,drug_label
dextromethorphan,Actionable PGx,EMA,Annotation of EMA Label for dextromethorphan / quinidine and CYP2D6,2014-05-02,CYP2D6,drug_label
quinidine,Actionable PGx,EMA,Annotation of EMA Label for dextromethorphan / quinidine and CYP2D6,2014-05-02,CYP2D6,drug_label
regorafenib,Actionable PGx,EMA,Annotation of EMA Label for regorafenib and KRAS,2014-06-26,KRAS,drug_label
sildenafil,Informative PGx,EMA,Annotation of EMA Label for sildenafil,2019-12-04,,drug_label
succinylcholine,Actionable PGx,FDA,"Annotation of FDA Label for succinylcholine and BCHE, CACNA1S, RYR1",,BCHE,drug_label
succinylcholine,Actionable PGx,FDA,"Annotation of FDA Label for succinylcholine and BCHE, CACNA1S, RYR1",,CACNA1S,drug_label
succinylcholine,Actionable PGx,FDA,"Annotation of FDA Label for succinylcholine and BCHE, CACNA1S, RYR1",,RYR1,drug_label
ticagrelor,Actionable PGx,EMA,Annotation of EMA Label for ticagrelor and CYP2C19,2013-10-29,CYP2C19,drug_label
mafenide,Actionable PGx,FDA,Annotation of FDA Label for mafenide and G6PD,2013-12-17,G6PD,drug_label
homoharringtonine,Informative PGx,FDA,"Annotation of FDA Label for homoharringtonine and ABL1, BCR",2013-12-18,ABL1,drug_label
homoharringtonine,Informative PGx,FDA,"Annotation of FDA Label for homoharringtonine and ABL1, BCR",2013-12-18,BCR,drug_label
carglumic acid,Testing required,EMA,Annotation of EMA Label for carglumic acid and NAGS,2014-05-02,NAGS,drug_label
rituximab,Informative PGx,FDA,Annotation of FDA Label for rituximab and MS4A1,2014-01-14,MS4A1,drug_label
pazopanib,Actionable PGx,FDA,"Annotation of FDA Label for pazopanib and HLA-B, UGT1A1",2019-04-19,HLA-B,drug_label
pazopanib,Actionable PGx,FDA,"Annotation of FDA Label for pazopanib and HLA-B, UGT1A1",2019-04-19,UGT1A1,drug_label
ibritumomab,Informative PGx,EMA,Annotation of EMA Label for ibritumomab and MS4A1,2019-12-04,MS4A1,drug_label
mercaptopurine,Actionable PGx,EMA,"Annotation of EMA Label for mercaptopurine and NUDT15, TPMT",2013-10-27,NUDT15,drug_label
mercaptopurine,Actionable PGx,EMA,"Annotation of EMA Label for mercaptopurine and NUDT15, TPMT",2013-10-27,TPMT,drug_label
sofosbuvir,Informative PGx,FDA,Annotation of FDA Label for sofosbuvir and IFNL3,2014-07-14,IFNL3,drug_label
brivaracetam,Actionable PGx,HCSC,Annotation of HCSC Label for brivaracetam and CYP2C19,,CYP2C19,drug_label
belimumab,Informative PGx,HCSC,Annotation of HCSC Label for belimumab and TNFSF13B,,TNFSF13B,drug_label
brentuximab vedotin,Informative PGx,HCSC,Annotation of HCSC Label for brentuximab vedotin and TNFRSF8,,TNFRSF8,drug_label
elosulfase alfa,Testing required,FDA,Annotation of FDA Label for elosulfase alfa and GALNS,,GALNS,drug_label
rasburicase,Testing required,FDA,Annotation of FDA Label for rasburicase and G6PD,2016-03-21,G6PD,drug_label
lapatinib,Actionable PGx,FDA,"Annotation of FDA Label for lapatinib and HLA-DQA1, HLA-DRB1",2020-08-24,HLA-DQA1,drug_label
lapatinib,Actionable PGx,FDA,"Annotation of FDA Label for lapatinib and HLA-DQA1, HLA-DRB1",2020-08-24,HLA-DRB1,drug_label
carbamazepine,Actionable PGx,FDA,Annotation of FDA Label for carbamazepine and HLA-A,2016-03-21,HLA-A,drug_label
raloxifene,Informative PGx,FDA,"Annotation of FDA Label for raloxifene and ESR1, ESR2",,ESR1,drug_label
raloxifene,Informative PGx,FDA,"Annotation of FDA Label for raloxifene and ESR1, ESR2",,ESR2,drug_label
osimertinib,Testing required,EMA,Annotation of EMA Label for osimertinib and EGFR,,EGFR,drug_label
flutamide,Actionable PGx,FDA,Annotation of FDA Label for flutamide and G6PD,2019-05-17,G6PD,drug_label
lorlatinib,Informative PGx,FDA,Annotation of FDA Label for lorlatinib and ROS1,,ROS1,drug_label
ivosidenib,Testing required,FDA,Annotation of FDA Label for ivosidenib and IDH1,,IDH1,drug_label
lorlatinib,Testing required,FDA,Annotation of FDA Label for lorlatinib and ALK,,ALK,drug_label
amphetamine,Informative PGx,FDA,Annotation of FDA Label for amphetamine and CYP2D6,,CYP2D6,drug_label
ixabepilone,Informative PGx,FDA,"Annotation of FDA Label for ixabepilone and ERBB2, ESR1, ESR2, PGR",,ERBB2,drug_label
ixabepilone,Informative PGx,FDA,"Annotation of FDA Label for ixabepilone and ERBB2, ESR1, ESR2, PGR",,ESR1,drug_label
ixabepilone,Informative PGx,FDA,"Annotation of FDA Label for ixabepilone and ERBB2, ESR1, ESR2, PGR",,ESR2,drug_label
ixabepilone,Informative PGx,FDA,"Annotation of FDA Label for ixabepilone and ERBB2, ESR1, ESR2, PGR",,PGR,drug_label
lusutrombopag,Actionable PGx,FDA,"Annotation of FDA Label for lusutrombopag and F2, F5, PROC, PROS1, SERPINC1",,F2,drug_label
lusutrombopag,Actionable PGx,FDA,"Annotation of FDA Label for lusutrombopag and F2, F5, PROC, PROS1, SERPINC1",,F5,drug_label
lusutrombopag,Actionable PGx,FDA,"Annotation of FDA Label for lusutrombopag and F2, F5, PROC, PROS1, SERPINC1",,PROC,drug_label
lusutrombopag,Actionable PGx,FDA,"Annotation of FDA Label for lusutrombopag and F2, F5, PROC, PROS1, SERPINC1",,PROS1,drug_label
lusutrombopag,Actionable PGx,FDA,"Annotation of FDA Label for lusutrombopag and F2, F5, PROC, PROS1, SERPINC1",,SERPINC1,drug_label
mepivacaine,Actionable PGx,FDA,"Annotation of FDA Label for mepivacaine and CYB5R3, G6PD",2019-10-24,CYB5R3,drug_label
mepivacaine,Actionable PGx,FDA,"Annotation of FDA Label for mepivacaine and CYB5R3, G6PD",2019-10-24,G6PD,drug_label
tamoxifen,Actionable PGx,FDA,Annotation of FDA Label for tamoxifen and CYP2D6,2019-10-09,CYP2D6,drug_label
cholic acid,Testing required,EMA,"Annotation of EMA Label for cholic acid and AKR1D1, AMACR, CYP27A1, CYP7A1, HSD3B7",2019-12-04,AKR1D1,drug_label
cholic acid,Testing required,EMA,"Annotation of EMA Label for cholic acid and AKR1D1, AMACR, CYP27A1, CYP7A1, HSD3B7",2019-12-04,AMACR,drug_label
cholic acid,Testing required,EMA,"Annotation of EMA Label for cholic acid and AKR1D1, AMACR, CYP27A1, CYP7A1, HSD3B7",2019-12-04,CYP27A1,drug_label
cholic acid,Testing required,EMA,"Annotation of EMA Label for cholic acid and AKR1D1, AMACR, CYP27A1, CYP7A1, HSD3B7",2019-12-04,CYP7A1,drug_label
cholic acid,Testing required,EMA,"Annotation of EMA Label for cholic acid and AKR1D1, AMACR, CYP27A1, CYP7A1, HSD3B7",2019-12-04,HSD3B7,drug_label
rivaroxaban,Informative PGx,FDA,Annotation of FDA Label for rivaroxaban and F5,,F5,drug_label
tolbutamide,Actionable PGx,FDA,Annotation of FDA Label for tolbutamide and G6PD,,G6PD,drug_label
nivolumab,Informative PGx,FDA,Annotation of FDA Label for nivolumab and BRAF,2020-10-28,BRAF,drug_label
eribulin,Informative PGx,FDA,"Annotation of FDA Label for eribulin and ERBB2, ESR1, ESR2, PGR",2019-07-03,ERBB2,drug_label
eribulin,Informative PGx,FDA,"Annotation of FDA Label for eribulin and ERBB2, ESR1, ESR2, PGR",2019-07-03,ESR1,drug_label
eribulin,Informative PGx,FDA,"Annotation of FDA Label for eribulin and ERBB2, ESR1, ESR2, PGR",2019-07-03,ESR2,drug_label
eribulin,Informative PGx,FDA,"Annotation of FDA Label for eribulin and ERBB2, ESR1, ESR2, PGR",2019-07-03,PGR,drug_label
